"title","subtitle","location"
"Erziehungs- und Alltagshilfen (EAH)","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Familienbegleitung / Mobile Hilfen / Alltagshilfen","Linz"
"Essen auf Rädern im Bezirk Oberwart","Essen auf Rädern / Angehörigen-Entlastung","Oberwart"
"Essen auf Rädern Stadt Oberwart","Essen auf Rädern / Angehörigen-Entlastung","Oberwart"
"Evangelische Fachmittelschule am Karlsplatz","Mittelschule und Fachmittelschule","Wien"
"Evangelische Mittelschule am Karlsplatz 14","Mittelschule und Fachmittelschule","Wien"
"Evangelische Volksschule am Karlsplatz 14","Volksschulen","Wien"
"Evangelische Volksschule Wien-Gumpendorf","Volksschulen","Wien"
"Evangelische Volksschule Wien-Leopoldstadt","Volksschulen","Wien"
"Evangelische Volksschule Währing - Lutherschule","Volksschulen","Wien"
"Evangelischer Hort Donaustadt","Hort","Wien"
"Evangelischer Hort Gumpendorf","Hort","Wien"
"Evangelischer Hort Karlsplatz","Hort","Wien"
"Evangelischer Hort Leopoldstadt","Hort","Wien"
"Evangelischer Hort Währing","Hort","Wien"
"Evangelischer Kindergarten am Gasometer","Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Kindergarten Am Hubertusdamm","Bildungsangebote / Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Kindergarten Citygate","Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Kindergarten Donaustadt","Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Kindergarten Floridsdorf","Bildungsangebote / Kindergarten","Wien"
"Evangelischer Kindergarten Gumpendorf","Kindergarten","Wien"
"Evangelischer Kindergarten Hamburgerstraße","Kindergarten","Wien"
"Evangelischer Kindergarten Landstraße","Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Kindergarten Leopoldstadt","Kindergarten","Wien"
"Evangelischer Kindergarten St. Pölten","Kindergarten","St. Pölten"
"Evangelischer Montessori Kindergarten Liesing","Kindergarten","Wien"
"Evangelischer Montessori Kindergarten Sturzgasse","Kindergarten / Kleinkindgruppen","Wien"
"Evangelischer Montessori Kindergarten Wieden","Kindergarten / Kleinkindgruppen","Wien"
"Evangelisches Alten- und Pflegeheim Bad Goisern","Pflegeeinrichtung","Bad Goisern"
"Evangelisches Gymnasium u. Werkschulheim","Innovative Schulformen / Gymnasien","Wien"
